Node	In	Out	Rank_1	Rank_2	Rank_3
206	1	1	0.000052	0.275750	0.150077	0.000029
207	2	2	0.000084	0.439747	0.150038	0.000029
208	1	1	0.000050	0.260198	0.150005	0.000029
209	3	3	0.000081	0.423601	0.150035	0.000029
210	1	1	0.000062	0.328249	0.150205	0.000029
211	1	1	0.000050	0.261339	0.150004	0.000029
212	1	1	0.000190	1.000000	0.150615	0.000029
213	5	5	0.000143	0.749711	0.150424	0.000029
214	3	3	0.000089	0.467568	0.150149	0.000029
215	1	1	0.000045	0.239022	0.150016	0.000029
216	7	7	0.000172	0.904123	0.150690	0.000029
217	1	1	0.000049	0.258739	0.150004	0.000029
218	1	1	0.000054	0.282195	0.150080	0.000029
219	3	3	0.000127	0.668567	0.150335	0.000029
220	5	5	0.000175	0.916987	0.150970	0.000029
221	13	13	0.000287	1.506782	0.152129	0.000029
222	3	3	0.000096	0.503859	0.150224	0.000029
223	4	4	0.000101	0.533092	0.150100	0.000029
224	9	9	0.000248	1.304675	0.151512	0.000029
225	3	3	0.000084	0.440485	0.150118	0.000029
226	4	4	0.000116	0.609122	0.150192	0.000029
227	9	9	0.000190	0.998169	0.150470	0.000029
228	7	7	0.000178	0.933648	0.150133	0.000029
229	6	6	0.000152	0.800333	0.150332	0.000029
230	80	80	0.001609	8.454872	0.163699	0.000031
231	6	6	0.000148	0.777699	0.151084	0.000029
232	2	2	0.000066	0.348690	0.150078	0.000029
233	4	4	0.000103	0.543056	0.150088	0.000029
234	7	7	0.000162	0.851341	0.150342	0.000029
235	1	1	0.000051	0.269332	0.150088	0.000029
236	3	3	0.000085	0.444064	0.150029	0.000029
237	27	27	0.000543	2.854633	0.152821	0.000029
238	1	1	0.000052	0.273334	0.150009	0.000029
239	5	5	0.000117	0.613872	0.150198	0.000029
240	1	1	0.000047	0.248602	0.150059	0.000029
241	4	4	0.000096	0.503188	0.150123	0.000029
242	1	1	0.000094	0.491575	0.150413	0.000029
243	14	14	0.000343	1.803943	0.150857	0.000029
244	12	12	0.000300	1.576797	0.151238	0.000029
245	1	1	0.000047	0.248627	0.150009	0.000029
246	1	1	0.000078	0.408041	0.150618	0.000029
247	1	1	0.000045	0.236511	0.150009	0.000029
248	1	1	0.000051	0.270348	0.150096	0.000029
249	1	1	0.000190	1.000000	0.150615	0.000029
250	1	1	0.000047	0.246558	0.150019	0.000029
251	1	1	0.000067	0.351969	0.150413	0.000029
252	3	3	0.000082	0.432339	0.150220	0.000029
253	2	2	0.000075	0.394601	0.150092	0.000029
254	1	1	0.000046	0.242651	0.150026	0.000029
255	2	2	0.000068	0.356674	0.150016	0.000029
256	6	6	0.000149	0.782566	0.150503	0.000029
257	13	13	0.000290	1.525280	0.151422	0.000029
258	2	2	0.000068	0.359224	0.150054	0.000029
259	1	1	0.000048	0.252733	0.150039	0.000029
260	1	1	0.000190	1.000000	0.150615	0.000029
261	1	1	0.000052	0.273540	0.150032	0.000029
262	2	2	0.000157	0.823670	0.150703	0.000029
263	1	1	0.000190	1.000000	0.150615	0.000029
264	1	1	0.000055	0.289170	0.150631	0.000029
265	1	1	0.000097	0.507691	0.150206	0.000029
266	1	1	0.000147	0.770270	0.151251	0.000029
267	1	1	0.000053	0.280665	0.150078	0.000029
268	1	1	0.000056	0.296461	0.150123	0.000029
269	4	4	0.000107	0.563740	0.150217	0.000029
270	3	3	0.000079	0.417647	0.150037	0.000029
271	3	3	0.000202	1.060179	0.151847	0.000029
272	1	1	0.000048	0.249567	0.150004	0.000029
273	11	11	0.000267	1.400883	0.150829	0.000029
274	1	1	0.000047	0.245249	0.150035	0.000029
275	4	4	0.000105	0.550299	0.150014	0.000029
276	3	3	0.000087	0.456861	0.150165	0.000029
277	1	1	0.000055	0.287924	0.150052	0.000029
278	9	9	0.000225	1.181932	0.151310	0.000029
279	4	4	0.000107	0.560174	0.150114	0.000029
280	2	2	0.000066	0.347010	0.150016	0.000029
281	2	2	0.000094	0.492410	0.150437	0.000029
282	1	1	0.000048	0.250283	0.150107	0.000029
283	3	3	0.000098	0.516705	0.150335	0.000029
284	2	2	0.000068	0.357698	0.150069	0.000029
285	2	2	0.000069	0.363488	0.150044	0.000029
286	13	13	0.000296	1.556730	0.152290	0.000029
287	3	3	0.000108	0.565404	0.150238	0.000029
288	18	18	0.000390	2.047250	0.153088	0.000029
289	2	2	0.000068	0.358850	0.150008	0.000029
290	3	3	0.000088	0.462727	0.150572	0.000029
291	2	2	0.000068	0.359720	0.150037	0.000029
292	4	4	0.000107	0.561546	0.150055	0.000029
293	13	13	0.000293	1.538802	0.151801	0.000029
294	3	3	0.000095	0.498942	0.150238	0.000029
295	2	2	0.000064	0.333869	0.150022	0.000029
296	1	1	0.000047	0.246032	0.150009	0.000029
297	5	5	0.000126	0.661178	0.150485	0.000029
298	4	4	0.000122	0.642256	0.150369	0.000029
299	1	1	0.000064	0.338360	0.150049	0.000029
300	1	1	0.000049	0.255572	0.150053	0.000029
301	1	1	0.000076	0.400886	0.150308	0.000029
302	1	1	0.000051	0.267071	0.150156	0.000029
303	1	1	0.000050	0.263739	0.150024	0.000029
304	9	9	0.000192	1.007664	0.150661	0.000029
305	20	20	0.000648	3.404128	0.159741	0.000030
306	6	6	0.000186	0.978369	0.150604	0.000029
307	3	3	0.000112	0.590694	0.150709	0.000029
308	1	1	0.000053	0.275909	0.150103	0.000029
309	2	2	0.000067	0.351376	0.150065	0.000029
310	2	2	0.000089	0.466144	0.151769	0.000029
311	2	2	0.000072	0.375689	0.150503	0.000029
312	1	1	0.000046	0.241075	0.150014	0.000029
313	2	2	0.000082	0.430268	0.150328	0.000029
314	7	7	0.000173	0.910983	0.151085	0.000029
315	3	3	0.000139	0.732800	0.150637	0.000029
316	12	12	0.000370	1.944510	0.153896	0.000029
317	1	1	0.000054	0.283410	0.150032	0.000029
318	1	1	0.000057	0.296862	0.150154	0.000029
319	2	2	0.000119	0.624447	0.150952	0.000029
320	8	8	0.000174	0.911717	0.150231	0.000029
321	3	3	0.000103	0.541384	0.150367	0.000029
322	7	7	0.000192	1.008579	0.150643	0.000029
323	35	35	0.000717	3.769496	0.155361	0.000030
324	1	1	0.000086	0.454376	0.150308	0.000029
325	5	5	0.000236	1.237643	0.151584	0.000029
326	2	2	0.000063	0.332255	0.150023	0.000029
327	1	1	0.000047	0.244633	0.150003	0.000029
328	3	3	0.000096	0.502498	0.150243	0.000029
329	1	1	0.000050	0.260198	0.150005	0.000029
330	1	1	0.000048	0.253557	0.150012	0.000029
331	2	2	0.000085	0.446588	0.150109	0.000029
332	2	2	0.000065	0.342558	0.150088	0.000029
333	2	2	0.000071	0.370499	0.150077	0.000029
334	3	3	0.000100	0.522825	0.150165	0.000029
335	1	1	0.000051	0.270088	0.150056	0.000029
336	12	12	0.000304	1.594993	0.151054	0.000029
337	2	2	0.000066	0.345391	0.150012	0.000029
338	12	12	0.000247	1.297503	0.150922	0.000029
339	1	1	0.000052	0.273014	0.150013	0.000029
340	1	1	0.000097	0.507986	0.150619	0.000029
341	1	1	0.000054	0.282884	0.150088	0.000029
342	26	26	0.000552	2.901006	0.152793	0.000029
343	11	11	0.000394	2.069636	0.161432	0.000031
344	2	2	0.000071	0.373400	0.151406	0.000029
345	9	9	0.000234	1.227480	0.151126	0.000029
346	1	1	0.000190	1.000000	0.152493	0.000029
347	5	5	0.000134	0.702292	0.150247	0.000029
348	2	2	0.000135	0.710112	0.150920	0.000029
349	2	2	0.000064	0.336550	0.150078	0.000029
350	1	1	0.000048	0.253255	0.150033	0.000029
351	1	1	0.000048	0.252157	0.150013	0.000029
352	12	12	0.000310	1.627564	0.151781	0.000029
353	5	5	0.000120	0.630419	0.150055	0.000029
354	1	1	0.000049	0.259663	0.150016	0.000029
355	9	9	0.000177	0.930919	0.150278	0.000029
356	5	5	0.000154	0.810038	0.150617	0.000029
357	4	4	0.000106	0.556629	0.150150	0.000029
358	4	4	0.000149	0.781141	0.151390	0.000029
359	2	2	0.000068	0.358230	0.150044	0.000029
360	2	2	0.000278	1.459459	0.151228	0.000029
361	4	4	0.000098	0.516230	0.150181	0.000029
362	1	1	0.000132	0.693694	0.150417	0.000029
363	2	2	0.000096	0.502884	0.150575	0.000029
364	47	47	0.001045	5.488834	0.162077	0.000031
365	44	44	0.000904	4.751746	0.154014	0.000029
366	7	7	0.000179	0.938603	0.150436	0.000029
367	16	16	0.000321	1.685282	0.151511	0.000029
368	1	1	0.000050	0.260432	0.150011	0.000029
369	3	3	0.000159	0.834103	0.153109	0.000029
370	5	5	0.000118	0.621690	0.150240	0.000029
371	2	2	0.000069	0.363163	0.150202	0.000029
372	3	3	0.000092	0.485642	0.150494	0.000029
373	7	7	0.000166	0.870684	0.150326	0.000029
374	3	3	0.000134	0.702742	0.151449	0.000029
375	3	3	0.000134	0.704966	0.152477	0.000029
376	1	1	0.000054	0.281124	0.150247	0.000029
377	1	1	0.000048	0.250111	0.150155	0.000029
378	2	2	0.000066	0.347747	0.150061	0.000029
379	2	2	0.000068	0.355139	0.150040	0.000029
380	1	1	0.000047	0.248627	0.150009	0.000029
381	2	2	0.000070	0.369171	0.150066	0.000029
382	1	1	0.000046	0.242280	0.150013	0.000029
383	1	1	0.000050	0.261113	0.150090	0.000029
384	1	1	0.000048	0.252457	0.150009	0.000029
385	22	22	0.000459	2.413578	0.151635	0.000029
386	2	2	0.000089	0.468102	0.150333	0.000029
387	1	1	0.000057	0.299065	0.150089	0.000029
388	4	4	0.000099	0.520903	0.150370	0.000029
389	1	1	0.000056	0.294675	0.150033	0.000029
390	5	5	0.000123	0.644449	0.150322	0.000029
391	3	3	0.000086	0.454248	0.150160	0.000029
392	1	1	0.000048	0.252457	0.150004	0.000029
393	3	3	0.000093	0.487707	0.150283	0.000029
394	31	31	0.000766	4.023478	0.154882	0.000029
395	3	3	0.000123	0.646186	0.150687	0.000029
396	1	1	0.000049	0.256455	0.150074	0.000029
397	9	9	0.000225	1.182659	0.150779	0.000029
398	17	17	0.000344	1.806074	0.151087	0.000029
399	1	1	0.000050	0.264886	0.150042	0.000029
400	2	2	0.000067	0.352271	0.150030	0.000029
401	1	1	0.000047	0.245944	0.150014	0.000029
402	4	4	0.000453	2.378378	0.153686	0.000029
403	2	2	0.000064	0.335505	0.150267	0.000029
404	2	2	0.000068	0.358041	0.150033	0.000029
405	2	2	0.000071	0.372919	0.150063	0.000029
406	1	1	0.000097	0.509109	0.150129	0.000029
407	3	3	0.000090	0.474944	0.150161	0.000029
408	5	5	0.000138	0.723783	0.150274	0.000029
409	3	3	0.000082	0.430533	0.150082	0.000029
410	1	1	0.000049	0.259283	0.150003	0.000029
411	27	27	0.000595	3.125255	0.158351	0.000030
412	3	3	0.000085	0.447140	0.150102	0.000029
413	6	6	0.000155	0.813399	0.150706	0.000029
414	1	1	0.000061	0.319662	0.150105	0.000029
415	1	1	0.000050	0.263739	0.150003	0.000029
416	16	16	0.000482	2.529954	0.155004	0.000030
417	2	2	0.000095	0.497317	0.150647	0.000029
418	1	1	0.000050	0.264766	0.150007	0.000029
419	1	1	0.000068	0.357305	0.150104	0.000029
